index,results,average time (3)
0,111,26204903
1,1,127198537
2,0,2355077186
3,28,17642338
4,1,602179288
5,10,38719892
6,0,265083312
7,0,3189563
8,0,38265545
9,318,360799948
10,13,1528563181
11,12,48177957
12,2,54758071
13,1,152076800
14,7,9635765
15,0,76668818
16,39,281771341
17,0,43016671
18,2161,26486396
19,744,26706933
20,1,46044031
21,87,61685641
22,38,11573003848
23,926,13134638
24,7,45258442
25,2,10219494
26,1,25070667
27,462,19011020
28,2,13265847
29,1,25027354
30,108,7506608
31,9,79997857
32,0,3684679
33,1,26997088
34,49,1065020163
35,2161,19638935
36,0,3124316
37,7,12755314
38,3,20040591
39,5,19036133
40,1,28983910
41,10000,893371740
42,36,8767207
43,5,125553607
44,1517,23208220
45,0,377539713
46,3,151215155
47,1,39611021
48,8,52292187
49,1830,49751758
