index,results,average time (3)
0,2,4683017
1,1,4269758
2,1,148287931
3,1,3440061
4,6,5295276
5,4,3199656
6,1,3086248
7,2,2754290
8,2,3497282
9,1,2883275
10,1,14459212
11,3,3061453
12,1,2774953
13,1,2745071
14,1,2547264
15,99,6537754
16,1,2722819
17,2,2566257
18,1,2421617
19,1,2453008
20,1,2635955
21,1,2562999
22,1,2618550
23,1,2546310
24,1,2563952
25,155,3841320
26,3,2694447
27,1,2549488
28,155,12470244
29,1,2902745
30,2,2784092
31,1,2561012
32,1,2542733
33,6,2398093
34,2,2658764
35,1,2524693
36,1,2470413
37,2,3212689
38,1,2691586
39,5,4018068
40,1,2531369
41,1,16592422
42,1258,226629336
