index,results,average time (3)
345,10000,4544820626
346,173,27819950
347,9828,183124859
348,10000,338295777
349,10000,12197037458
350,1003,9055296
351,10000,124841292
352,920,13084967
353,10000,58691739
354,10000,1207492271
355,10000,10361573060
356,10000,482097069
357,92,580584287
358,459,5420764
359,10000,42741035461
360,1093,13911167
361,10000,233673174
362,420,6371736
363,10000,233074505
364,1436,9393850
365,10000,3934473275
366,0,timeout
367,0,timeout
368,91,45126676
369,10000,4994437932
370,10000,1125727573
371,10000,1895786364
372,63,2888996
373,436,7800737
374,9,2103884
375,10000,1660927295
376,1980,26492833
377,8,2295811
378,129,14813343
379,10000,131065929333
380,10000,3962507804
381,4910,130140145
382,1111,26758988
383,142,55424848
384,840,166832605
385,10000,520547866
386,10000,1127367098
387,10000,36560510634
388,64,59089605251
389,10000,433500532944
390,10000,15717814286
391,10000,80751051584
392,10000,15007520278
393,10000,1525468587
394,10000,32501714070
395,10000,5075879414
396,362,5454857
397,10000,961294174
398,10000,1278838554
399,10000,403368552
400,10000,94209491014
401,390,5646864
402,10000,2571024417
403,203,3295261
404,41,2613305
405,10000,5486469665
406,10000,1627345164
407,0,2012570
408,5099,115471521
409,10000,10073943058
410,4721,75089692
411,2878,72237729
412,4953,76335429
413,10000,4763794978
414,1817,62688191
415,1347,59139489
416,10000,1099211613
417,0,3258704
418,0,3420988
419,10000,4422011613
420,10000,215206304
421,10000,10495750982
422,7284,9907563
423,42,3218014
424,374,3889321
425,10000,737457275
426,2891,1190491914
427,1316,2101104735
428,10000,23317201534
429,10000,112589236895
430,10000,10520700533
431,10000,193180640
432,10000,2040695269
433,0,2014159
434,0,1755555
435,10000,1227019071
