index,results,average time (3)
0,31,17096121
1,4,744970480
2,0,135451793
3,0,18164952
4,2,17137844
5,430,110548257
6,78,36611715
7,31,11463880
8,4,18790006
9,0,29375234
10,1,18731752
11,1,36657094
12,7,462900399
13,6,23344198
14,0,8765538
15,0,72873909
16,15,66794633
17,10,19161224
18,63,1229445616
19,0,100617249
20,1,67273457
21,3,627347707
22,6,262550273
23,0,17164627
24,9,11082569
25,0,74937263
26,4,213228066
27,0,52414575
28,21,156109888
29,4,131665308
30,1,55270909
31,78,32582203
32,3,10706424
33,0,191232045
34,0,8921702
35,67,90024311
36,1,38997729
37,2,38733482
38,15,228205203
39,1,41937668
40,1,165140151
41,8,26239792
42,10,19673824
43,3,322902519
44,4,38003046
45,0,42546669
46,72,241466918
47,1,34085193
48,1,28289794
49,186,6064338445
