index,results,average time (3)
0,242,995807647
1,1,12295404
2,16,5031664
3,1,185534238
4,1,135259548
5,2,16541639
6,1,894142548
7,3,564327001
8,1,2379250208
9,1,23361920
10,1,189274946
11,3,2958853
12,1,22875467
13,1,75527349
14,3,12553214
15,1,1467491546
16,1,281345605
17,1,3469387
18,5,5920092
19,1,29182036
20,1,64970652
21,2,3925482
22,1,2926269
23,2,5499521
24,2,4765827655
25,3,463435808
26,2,1424295424
27,3,8685508
28,3,10343710
29,1,2782980
30,2,6282408
31,2,2654949
32,2,4840453
33,2,2965767
34,11,4375059
35,1,29023329
36,4,7638374
37,23,45815546
38,3,3001292
39,2,23716210
40,2,705958604
