index,results,average time (3)
0,28,8243878
1,1,31107822
2,3,9109655
3,8,9703874
4,424,32241820
5,2,40137529
6,2,9434699
7,1,6385405
8,2,7654825
9,969,104954401
10,63,22774855
11,0,15343427
12,108,24331251
13,313,47348419
14,9,154492457
15,2,9609539
16,4,444735288
17,18,25205929
18,29,53922255
19,1,11926173
20,50,23055076
21,1,227690299
22,1,10018348
23,6136,74359416
24,7,30897537
25,1,9884198
26,20,117402314
27,1,8995294
28,1,22569496
29,2,12367804
30,1,27226050
31,10000,317392189
32,1,19030332
33,6,27858733
34,1,18770774
35,40,24930079
36,6,32287597
37,11,11429309
38,1,32452741
39,4,19076267
40,5,18091360
41,1,28972625
42,7,45491218
43,1,17760514
44,2,27751206
45,2,15952666
46,49,14984845
47,2,46138365
48,1,17111618
49,4,24047294
